0,1,2
403131,"[-122.403008, 37.752502]",A-973
425246,"[-122.414513, 37.732208]",A-1015
400231,"[-122.396194, 37.767639]",A-1223
400746,"[-122.448204, 37.721279]",A-1390
400397,"[-122.446037, 37.726318]",A-1471
425281,"[-122.423332, 37.731579]",A-1952
400746,"[-122.448204, 37.721279]",A-1978
403131,"[-122.403008, 37.752502]",A-2913
403131,"[-122.403008, 37.752502]",A-3160
401277,"[-122.407852, 37.740299]",A-3320
400397,"[-122.446037, 37.726318]",A-3449
404647,"[-122.453362, 37.712471]",A-3555
401516,"[-122.405861, 37.761818]",A-3614
400746,"[-122.448204, 37.721279]",A-4018
416144,"[-122.469635, 37.791866]",A-4026
401277,"[-122.407852, 37.740299]",A-4033
403131,"[-122.403786, 37.749481]",A-4445
400231,"[-122.395859, 37.767666]",A-4490
401357,"[-122.402733, 37.727322]",A-4798
400231,"[-122.395859, 37.767666]",A-5198
401516,"[-122.405861, 37.761818]",A-5344
401516,"[-122.405861, 37.761818]",A-5445
401277,"[-122.405594, 37.743958]",A-5520
401277,"[-122.405594, 37.743958]",A-5764
403132,"[-122.40361, 37.749493]",A-5802
401486,"[-122.423836, 37.731361]",A-5849
401277,"[-122.405594, 37.743958]",A-6111
400318,"[-122.439507, 37.729954]",A-6159
403132,"[-122.403549, 37.74958]",A-6820
416144,"[-122.46965, 37.793243]",A-6859
425281,"[-122.423416, 37.731571]",A-6892
403131,"[-122.403008, 37.752502]",A-6895
401277,"[-122.407997, 37.73864]",A-7013
401358,"[-122.401115, 37.723717]",A-7102
400397,"[-122.44603, 37.726311]",A-7166
402827,"[-122.377792, 37.798302]",A-7414
401820,"[-122.416885, 37.769592]",A-7513
425246,"[-122.414513, 37.732208]",A-7530
403132,"[-122.402832, 37.753132]",A-7560
404647,"[-122.453629, 37.712246]",A-7973
402814,"[-122.387558, 37.789082]",A-8119
403131,"[-122.403008, 37.752502]",A-8267
401486,"[-122.423836, 37.731361]",A-8349
401277,"[-122.407928, 37.739956]",A-8396
404648,"[-122.448479, 37.719067]",A-8503
401357,"[-122.401474, 37.724007]",A-8508
403131,"[-122.403488, 37.750385]",A-8755
425246,"[-122.414513, 37.732208]",A-8915
400231,"[-122.395859, 37.767666]",A-8976
401018,"[-122.414909, 37.732292]",A-9043
401018,"[-122.414909, 37.732292]",A-9221
400746,"[-122.448204, 37.721279]",A-9733
401277,"[-122.407997, 37.73864]",A-9931
403132,"[-122.403625, 37.749325]",A-9953
401516,"[-122.405861, 37.761818]",A-10030
400318,"[-122.439507, 37.729954]",A-10266
403131,"[-122.403008, 37.752502]",A-10329
425246,"[-122.414513, 37.732208]",A-10404
400318,"[-122.431961, 37.732086]",A-10496
400746,"[-122.448204, 37.721279]",A-10728
403131,"[-122.403008, 37.752502]",A-10939
400746,"[-122.448204, 37.721279]",A-11257
401277,"[-122.405594, 37.743958]",A-11310
401516,"[-122.405861, 37.761818]",A-11590
400746,"[-122.447952, 37.722725]",A-11901
400156,"[-122.447701, 37.722935]",A-11940
404648,"[-122.448471, 37.719143]",A-12035
401357,"[-122.401474, 37.724007]",A-12177
401018,"[-122.414909, 37.732292]",A-12220
401358,"[-122.401115, 37.723717]",A-12313
400746,"[-122.448204, 37.721279]",A-12403
401358,"[-122.401115, 37.723717]",A-12414
401277,"[-122.405594, 37.743958]",A-12499
401277,"[-122.405594, 37.743958]",A-12683
400575,"[-122.417992, 37.731846]",A-12693
403131,"[-122.403008, 37.752502]",A-12719
401357,"[-122.402786, 37.727306]",A-12725
403131,"[-122.403008, 37.752502]",A-12731
401277,"[-122.405594, 37.743958]",A-12811
401277,"[-122.405594, 37.743958]",A-12927
402817,"[-122.367416, 37.807869]",A-13066
401277,"[-122.40786, 37.740299]",A-13096
406871,"[-122.41613, 37.769672]",A-13553
401277,"[-122.407997, 37.73864]",A-13645
401486,"[-122.423836, 37.731361]",A-13807
401357,"[-122.401474, 37.724007]",A-13907
403131,"[-122.403008, 37.752502]",A-13959
401516,"[-122.405861, 37.761818]",A-14155
425246,"[-122.414513, 37.732208]",A-14159
401357,"[-122.402786, 37.727306]",A-14408
401277,"[-122.405594, 37.743958]",A-14499
400746,"[-122.448204, 37.721279]",A-14537
402814,"[-122.387558, 37.789082]",A-14649
401277,"[-122.405594, 37.743958]",A-14726
400318,"[-122.431419, 37.732143]",A-14927
401516,"[-122.40506, 37.763355]",A-14949
425246,"[-122.412216, 37.733112]",A-15271
401358,"[-122.401115, 37.723717]",A-15440
400746,"[-122.448204, 37.721279]",A-15563
401358,"[-122.401115, 37.723717]",A-15650
403131,"[-122.403008, 37.752502]",A-15808
403131,"[-122.403809, 37.749413]",A-15810
404648,"[-122.448471, 37.719143]",A-15918
401357,"[-122.401474, 37.724007]",A-16008
403131,"[-122.403008, 37.752502]",A-16020
425246,"[-122.412216, 37.733112]",A-16028
403131,"[-122.403008, 37.752502]",A-16160
425246,"[-122.414513, 37.732208]",A-16407
401277,"[-122.40786, 37.740299]",A-16423
403131,"[-122.403008, 37.752502]",A-16823
401516,"[-122.405861, 37.761818]",A-16917
401277,"[-122.405594, 37.743958]",A-17000
400231,"[-122.396187, 37.767647]",A-17078
401277,"[-122.40567, 37.743855]",A-17135
401277,"[-122.407997, 37.73864]",A-17166
403132,"[-122.402832, 37.753132]",A-17167
422197,"[-122.453529, 37.712086]",A-17196
402814,"[-122.387558, 37.789082]",A-17253
401277,"[-122.405594, 37.743958]",A-17656
400318,"[-122.439507, 37.729954]",A-17806
400318,"[-122.439507, 37.729954]",A-17829
403131,"[-122.403008, 37.752502]",A-17959
401277,"[-122.405594, 37.743958]",A-18159
400746,"[-122.448204, 37.721279]",A-18267
401486,"[-122.423836, 37.731361]",A-18859
401357,"[-122.402786, 37.727306]",A-18874
425246,"[-122.414513, 37.732208]",A-18892
401358,"[-122.401115, 37.723717]",A-18951
400397,"[-122.446388, 37.725857]",A-18986
401018,"[-122.414909, 37.732292]",A-19229
400318,"[-122.439507, 37.729954]",A-19455
404648,"[-122.448471, 37.719143]",A-19914
406871,"[-122.41613, 37.769669]",A-20117
403131,"[-122.403008, 37.752502]",A-20118
400397,"[-122.446037, 37.726318]",A-20293
401516,"[-122.405861, 37.761818]",A-20348
403132,"[-122.402832, 37.753132]",A-20353
401516,"[-122.405861, 37.761818]",A-20392
401516,"[-122.405861, 37.761818]",A-20411
400318,"[-122.430733, 37.73217]",A-20470
401277,"[-122.405586, 37.743958]",A-20589
401277,"[-122.405586, 37.743958]",A-20790
400318,"[-122.439499, 37.729942]",A-20965
403131,"[-122.403008, 37.752502]",A-21015
416144,"[-122.46965, 37.793243]",A-21875
403132,"[-122.403633, 37.749302]",A-22076
401018,"[-122.414909, 37.732292]",A-22169
403131,"[-122.403008, 37.752502]",A-22284
403131,"[-122.403008, 37.752502]",A-22285
425246,"[-122.412216, 37.733112]",A-22314
401486,"[-122.424118, 37.731354]",A-22322
400397,"[-122.44603, 37.726311]",A-22550
400318,"[-122.439507, 37.729954]",A-22575
401486,"[-122.423836, 37.731361]",A-22737
401277,"[-122.40786, 37.740299]",A-22750
403131,"[-122.403778, 37.749504]",A-22895
425246,"[-122.412216, 37.733112]",A-22979
401358,"[-122.401115, 37.723717]",A-23093
404648,"[-122.451347, 37.714169]",A-23250
401277,"[-122.40786, 37.740299]",A-23293
422197,"[-122.453529, 37.712086]",A-23662
403131,"[-122.403008, 37.752502]",A-23823
401357,"[-122.402786, 37.727306]",A-23824
400231,"[-122.395859, 37.767666]",A-23899
425246,"[-122.414513, 37.732208]",A-24199
425246,"[-122.412216, 37.733112]",A-24247
403132,"[-122.402832, 37.753098]",A-24328
403131,"[-122.403008, 37.752502]",A-24447
400231,"[-122.395859, 37.767666]",A-24515
401018,"[-122.414909, 37.732292]",A-25116
401516,"[-122.405861, 37.761818]",A-25251
400318,"[-122.439507, 37.729954]",A-25254
425246,"[-122.412216, 37.733112]",A-25345
401277,"[-122.40786, 37.740299]",A-25346
400231,"[-122.395859, 37.767666]",A-25352
425246,"[-122.412216, 37.733112]",A-25536
400231,"[-122.395859, 37.767666]",A-25542
425246,"[-122.414513, 37.732208]",A-25591
403131,"[-122.403008, 37.752502]",A-25851
401516,"[-122.405861, 37.761818]",A-25905
404648,"[-122.448471, 37.719143]",A-25965
401357,"[-122.401474, 37.724007]",A-26426
401277,"[-122.407997, 37.73864]",A-26572
403131,"[-122.403008, 37.752502]",A-26871
401516,"[-122.405861, 37.761818]",A-26978
403132,"[-122.402824, 37.75248]",A-26997
403132,"[-122.402832, 37.753132]",A-27168
400746,"[-122.448204, 37.721279]",A-27576
401516,"[-122.405861, 37.761818]",A-27581
401516,"[-122.405861, 37.761818]",A-27869
401516,"[-122.405861, 37.761818]",A-27906
403131,"[-122.403008, 37.752502]",A-28529
425246,"[-122.414513, 37.732208]",A-28914
402827,"[-122.377792, 37.798302]",A-29120
400318,"[-122.439499, 37.729942]",A-29212
401277,"[-122.407852, 37.740299]",A-29281
400397,"[-122.446037, 37.726318]",A-29319
401277,"[-122.407997, 37.73864]",A-29445
403131,"[-122.403008, 37.752502]",A-29540
401357,"[-122.402733, 37.727322]",A-29904
400231,"[-122.392799, 37.762817]",A-29969
403132,"[-122.402832, 37.753132]",A-30146
403132,"[-122.40284, 37.75325]",A-30181
401357,"[-122.401474, 37.724007]",A-30307
403131,"[-122.403778, 37.749516]",A-30334
400231,"[-122.401016, 37.774891]",A-30354
403131,"[-122.403008, 37.752502]",A-30545
406871,"[-122.41613, 37.769669]",A-30743
403131,"[-122.403008, 37.752502]",A-30876
401516,"[-122.405861, 37.761818]",A-31015
403131,"[-122.403008, 37.752502]",A-31046
403131,"[-122.403008, 37.752483]",A-31049
401516,"[-122.405861, 37.761818]",A-31091
400397,"[-122.44603, 37.726311]",A-31154
401277,"[-122.405594, 37.743958]",A-31185
416144,"[-122.469727, 37.791954]",A-31400
401516,"[-122.405861, 37.761818]",A-31518
401277,"[-122.405594, 37.743958]",A-31519
401516,"[-122.405861, 37.761818]",A-31522
403131,"[-122.403008, 37.752502]",A-31529
402817,"[-122.367447, 37.807789]",A-31604
401277,"[-122.405594, 37.743958]",A-31686
401277,"[-122.407852, 37.740299]",A-31962
402814,"[-122.38987, 37.786892]",A-32004
401516,"[-122.405861, 37.761818]",A-32257
425246,"[-122.412216, 37.733112]",A-32321
425246,"[-122.412216, 37.733112]",A-32339
425246,"[-122.414513, 37.732208]",A-32466
403132,"[-122.402824, 37.75248]",A-32626
403132,"[-122.402832, 37.753132]",A-32918
401516,"[-122.405861, 37.761818]",A-32926
401277,"[-122.405586, 37.743958]",A-32962
422197,"[-122.453529, 37.712086]",A-33029
416144,"[-122.46965, 37.793243]",A-33350
425246,"[-122.412216, 37.733112]",A-33397
401486,"[-122.423836, 37.731358]",A-33534
400231,"[-122.395859, 37.767666]",A-33544
422197,"[-122.453529, 37.712086]",A-33708
401018,"[-122.414909, 37.732292]",A-33875
406871,"[-122.41613, 37.769669]",A-33931
401409,"[-122.403435, 37.756878]",A-34163
422197,"[-122.453529, 37.712086]",A-34422
401277,"[-122.405586, 37.743958]",A-34439
401358,"[-122.401115, 37.723717]",A-34584
401470,"[-122.432243, 37.732281]",A-34676
404648,"[-122.448471, 37.719147]",A-35063
401516,"[-122.405861, 37.761818]",A-35073
401277,"[-122.407852, 37.740299]",A-35313
406871,"[-122.41613, 37.769669]",A-35342
400318,"[-122.430733, 37.73217]",A-35450
401516,"[-122.405861, 37.761818]",A-35603
400318,"[-122.439499, 37.729942]",A-36037
401516,"[-122.406006, 37.759403]",A-36091
401277,"[-122.405586, 37.743958]",A-36098
401516,"[-122.405861, 37.761818]",A-36263
403132,"[-122.402832, 37.753132]",A-36504
400318,"[-122.439987, 37.729942]",A-37100
400231,"[-122.392799, 37.762817]",A-37145
400318,"[-122.439499, 37.729942]",A-37690
425246,"[-122.414513, 37.732208]",A-37724
401277,"[-122.405586, 37.743958]",A-37985
400397,"[-122.446037, 37.726318]",A-38114
400318,"[-122.439499, 37.729942]",A-38137
403132,"[-122.402832, 37.753132]",A-38177
425246,"[-122.414513, 37.732208]",A-38184
400397,"[-122.446037, 37.726318]",A-38204
401516,"[-122.405869, 37.761803]",A-38213
401277,"[-122.407852, 37.740299]",A-38468
400318,"[-122.439499, 37.729942]",A-38477
403131,"[-122.403008, 37.752502]",A-38478
401486,"[-122.423836, 37.731358]",A-38706
403131,"[-122.403008, 37.752502]",A-38708
401277,"[-122.407852, 37.740299]",A-38729
401277,"[-122.405586, 37.743958]",A-38951
401358,"[-122.401115, 37.723717]",A-39415
401277,"[-122.407852, 37.740299]",A-39470
401277,"[-122.407852, 37.740299]",A-39630
400231,"[-122.395859, 37.767666]",A-40066
401277,"[-122.405586, 37.743958]",A-40075
400231,"[-122.395859, 37.767666]",A-40200
401277,"[-122.405586, 37.743958]",A-40392
400746,"[-122.448204, 37.721279]",A-40411
400231,"[-122.395859, 37.767666]",A-40670
400322,"[-122.407005, 37.735107]",A-40770
400318,"[-122.430733, 37.73217]",A-41026
400156,"[-122.447716, 37.7229]",A-41106
400318,"[-122.439499, 37.729942]",A-41144
401277,"[-122.407852, 37.740299]",A-41150
416144,"[-122.46965, 37.793243]",A-41170
406871,"[-122.41613, 37.769669]",A-41180
400231,"[-122.392799, 37.762817]",A-41216
400231,"[-122.392799, 37.762817]",A-41281
401018,"[-122.414909, 37.732292]",A-41526
404569,"[-122.395508, 37.71019]",A-41555
401277,"[-122.407997, 37.73864]",A-41564
403131,"[-122.403008, 37.752502]",A-41695
403131,"[-122.403008, 37.752502]",A-42131
425246,"[-122.412216, 37.733112]",A-42309
401516,"[-122.405861, 37.761818]",A-42442
401516,"[-122.405861, 37.761818]",A-42628
403132,"[-122.403641, 37.749294]",A-42827
401277,"[-122.40786, 37.740299]",A-314352
425246,"[-122.414513, 37.732208]",A-314583
402815,"[-122.377731, 37.798252]",A-314715
401486,"[-122.423836, 37.731361]",A-314800
401486,"[-122.423836, 37.731361]",A-314997
401516,"[-122.405861, 37.761818]",A-315214
425246,"[-122.412216, 37.733112]",A-315261
401358,"[-122.401253, 37.724064]",A-315325
400231,"[-122.395859, 37.767666]",A-315442
400318,"[-122.44001, 37.729919]",A-315455
401357,"[-122.401474, 37.724007]",A-315788
401018,"[-122.414909, 37.732292]",A-316232
401486,"[-122.423836, 37.731361]",A-316240
400318,"[-122.439507, 37.729954]",A-316249
401358,"[-122.401115, 37.723717]",A-316446
403131,"[-122.403008, 37.752502]",A-316452
401357,"[-122.401474, 37.724007]",A-316585
403132,"[-122.402832, 37.753132]",A-316588
425246,"[-122.412216, 37.733112]",A-336339
404648,"[-122.448471, 37.719143]",A-336645
401516,"[-122.405861, 37.761818]",A-336662
400397,"[-122.44603, 37.726311]",A-337540
401409,"[-122.403419, 37.756863]",A-337560
422197,"[-122.453529, 37.712086]",A-337700
401277,"[-122.40786, 37.740299]",A-337777
403131,"[-122.40387, 37.749233]",A-337798
402814,"[-122.379807, 37.79631]",A-337811
400318,"[-122.439507, 37.729954]",A-337938
401277,"[-122.405594, 37.743958]",A-338089
401277,"[-122.40786, 37.740299]",A-338096
401516,"[-122.405151, 37.763069]",A-338213
400746,"[-122.447884, 37.722908]",A-338262
403131,"[-122.403008, 37.752502]",A-338450
401277,"[-122.405594, 37.743958]",A-338664
403131,"[-122.403008, 37.752487]",A-339043
401358,"[-122.401115, 37.723717]",A-339207
401277,"[-122.405594, 37.743958]",A-339553
401486,"[-122.423836, 37.731361]",A-340027
401516,"[-122.405861, 37.761818]",A-340038
401018,"[-122.414909, 37.732292]",A-340192
400318,"[-122.439507, 37.729954]",A-340281
401277,"[-122.407997, 37.73864]",A-340392
400746,"[-122.448204, 37.721279]",A-340479
401516,"[-122.405861, 37.761818]",A-340738
401486,"[-122.423836, 37.731361]",A-340786
403131,"[-122.403008, 37.752502]",A-340881
403131,"[-122.403008, 37.752502]",A-340915
