ID,Source,TMC,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Number,Street,Side,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight,Hour,Duration
A-736,MapQuest,201.0,3,2016-06-21 10:51:31,2016-06-21 11:21:31,37.719162,-122.448273,,,0.0,Accident on I-280 Northbound at Geneva Ave.,,John F Foran Fwy,R,San Francisco,San Francisco,CA,94112,US,US/Pacific,KSFO,2016-06-21 10:56:00,71.1,,55.0,30.04,10.0,NE,4.6,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,10,30
A-766,MapQuest,201.0,3,2016-06-21 12:46:38,2016-06-21 13:16:38,37.732746,-122.40493799999999,,,0.0,#1 lane blocked due to accident on US-101 Southbound at Silver Ave.,1612.0,Silver Ave,R,San Francisco,San Francisco,CA,94134-1230,US,US/Pacific,KSFO,2016-06-21 12:56:00,73.0,,44.0,30.02,10.0,WNW,19.6,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,12,30
A-767,MapQuest,201.0,2,2016-06-21 12:58:04,2016-06-21 13:28:04,37.749485,-122.403236,,,0.0,Slow lane blocked due to accident on US-101 Southbound at Exit 432 / Cesar Chavez.,2666.0,Cesar Chavez St,R,San Francisco,San Francisco,CA,94107,US,US/Pacific,KOAK,2016-06-21 12:53:00,77.0,,40.0,30.03,10.0,WNW,11.5,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,12,30
A-789,MapQuest,201.0,3,2016-06-21 14:57:48,2016-06-21 15:27:48,37.731983,-122.41541299999999,,,0.0,Accident on I-280 Northbound at Exit 53 Alemany Blvd.,,John F Foran Fwy,R,San Francisco,San Francisco,CA,94134,US,US/Pacific,KSFO,2016-06-21 14:56:00,71.1,,47.0,30.0,10.0,WNW,24.2,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,14,30
A-809,MapQuest,201.0,2,2016-06-21 20:03:18,2016-06-21 20:33:18,37.807072,-122.47561599999999,,,0.0,Accident on US-101 Golden Gate Brg Southbound at Exit 439 Transit Transfer Facility.,,Golden Gate Brg S,R,San Francisco,San Francisco,CA,94129,US,US/Pacific,KSFO,2016-06-21 19:56:00,61.0,,67.0,29.98,10.0,WNW,20.7,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,20,30
A-896,MapQuest,201.0,3,2016-06-22 13:05:41,2016-06-22 13:35:41,37.756107,-122.39246399999999,,,0.0,Accident on I-280 Southbound at Exit 55 Pennsylvania Ave.,,I-280 S,R,San Francisco,San Francisco,CA,94107,US,US/Pacific,KOAK,2016-06-22 12:53:00,64.9,,61.0,30.02,10.0,West,11.5,,Partly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day,13,30
A-916,MapQuest,201.0,3,2016-06-22 15:36:39,2016-06-22 16:06:39,37.784884999999996,-122.39267,,,0.0,Accident on I-80 Westbound at Exits 2B 2C Harrison St.,,James Lick Fwy N,R,San Francisco,San Francisco,CA,94107,US,US/Pacific,KOAK,2016-06-22 15:53:00,66.0,,59.0,30.01,10.0,West,13.8,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,15,30
A-956,MapQuest,203.0,3,2016-06-22 22:22:53,2016-06-22 22:52:53,37.785542,-122.39138,,,0.0,Multi-vehicle accident on I-80 Eastbound at Exits 2B 2C Harrison St.,,James Lick Fwy N,R,San Francisco,San Francisco,CA,94105,US,US/Pacific,KOAK,2016-06-22 21:53:00,59.0,,75.0,30.01,10.0,WSW,12.7,,Partly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Night,Day,22,30
A-970,MapQuest,241.0,2,2016-06-23 03:33:33,2016-06-23 04:33:33,37.769375,-122.405533,,,0.0,Lane blocked due to accident on US-101 Southbound before Exits 433 433B 433C San Francisco-Oakland Bay Bridge.,15.0,San Bruno Ave,R,San Francisco,San Francisco,CA,94103,US,US/Pacific,KSFO,2016-06-23 03:56:00,54.0,,86.0,30.04,10.0,West,11.5,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,03,60
A-973,MapQuest,241.0,2,2016-06-23 06:42:10,2016-06-23 07:34:18,37.752502,-122.40300800000001,,,0.0,#1 &amp; #2 lane blocked due to accident on US-101 Southbound at Exit 432 Cesar Chavez.,,James Lick Fwy S,R,San Francisco,San Francisco,CA,94107,US,US/Pacific,KOAK,2016-06-23 06:53:00,57.9,,78.0,30.07,10.0,Calm,,,Scattered Clouds,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day,06,52
