iter	RMSE
0	22.47097504
1	22.40369976
2	22.34145097
3	22.28387377
4	22.23601328
5	22.19032091
6	22.145688
7	22.09365798
8	22.05602596
9	22.0114851
10	21.96515401
11	21.90922092
12	21.82813493
13	21.78390442
14	21.72692748
15	21.65167062
16	21.59707603
17	21.56045394
18	21.52925341
19	21.50073007
20	21.47444566
21	21.43769133
22	21.39131493
23	21.35616864
24	21.32888995
25	21.2984489
26	21.23590077
27	21.20346931
28	21.18149387
29	21.1390627
30	21.10273934
31	21.05376654
32	21.00499373
33	20.98119217
34	20.95906872
35	20.91647519
36	20.89641902
37	20.87119013
38	20.83123437
39	20.79134901
40	20.75453049
41	20.71981146
42	20.69791615
43	20.66758894
44	20.64333079
45	20.61909321
46	20.58408305
47	20.52980915
48	20.49668692
49	20.46430367
50	20.43518901
51	20.38514912
52	20.35422056
53	20.32698232
54	20.28556883
55	20.26446738
56	20.22344569
57	20.19924586
58	20.18886511
59	20.16228072
60	20.12339325
61	20.10505148
62	20.07965743
63	20.06250142
64	20.01007667
65	19.99001438
66	19.96514106
67	19.92320186
68	19.90566595
69	19.88967049
70	19.87549293
71	19.84126096
72	19.81409527
73	19.78872718
74	19.77099933
75	19.7355862
76	19.7030398
77	19.68926106
78	19.66613629
79	19.64628543
80	19.62252635
81	19.59844385
82	19.57023682
83	19.52028277
84	19.50413642
85	19.4742707
86	19.44545294
87	19.40469641
88	19.38812645
89	19.36295548
90	19.34888633
91	19.31811875
92	19.30165733
93	19.26859644
94	19.23758424
95	19.20392475
96	19.18461802
97	19.16442241
98	19.1388163
99	19.11864176
100	19.10233243
101	19.07841973
102	19.0550081
103	19.03995426
104	19.01964894
105	19.00443249
106	18.96181473
107	18.93923225
108	18.92299704
109	18.90173583
110	18.88171581
111	18.8563207
112	18.8301479
113	18.79444525
114	18.77012751
115	18.74587833
116	18.72619634
117	18.7108667
118	18.68410428
119	18.66534427
120	18.63488372
121	18.61729463
122	18.59466573
123	18.5690668
124	18.54149805
125	18.52066914
126	18.50283683
127	18.47722794
128	18.44707553
129	18.44061868
130	18.42831596
131	18.40440169
132	18.37768112
133	18.36199724
134	18.35086011
135	18.31395648
136	18.30837247
137	18.27654079
138	18.26174962
139	18.24181071
140	18.20257257
141	18.1942076
142	18.1457795
143	18.1076074
144	18.08975848
145	18.05871804
146	18.0272514
147	18.01479012
148	18.00241366
149	17.97147862
150	17.96099677
151	17.9189703
152	17.91003367
153	17.88527454
154	17.86337055
155	17.8385842
156	17.8277564
157	17.80734514
158	17.78027052
159	17.75632639
160	17.73821451
161	17.71926365
162	17.70066961
163	17.68156225
164	17.67439151
165	17.65163499
166	17.63155091
167	17.58142414
168	17.53902659
169	17.50459434
170	17.4742933
171	17.46456493
172	17.44847439
173	17.43002987
174	17.39503812
175	17.36911433
176	17.35540082
177	17.30893002
178	17.29750138
179	17.25484896
180	17.23738875
181	17.22974558
182	17.20465447
183	17.18967378
184	17.1772055
185	17.16854192
186	17.14715421
187	17.13683072
188	17.11720107
189	17.10386227
190	17.08282632
191	17.0695261
192	17.05127382
193	17.03786809
194	17.02677734
195	17.00475144
196	16.9739399
197	16.95156967
198	16.93475411
199	16.91505643
200	16.89202182
201	16.88420234
202	16.86300949
203	16.84340168
204	16.81820221
205	16.7737453
206	16.76226459
207	16.74489266
208	16.72751016
209	16.69940946
210	16.68376865
211	16.64552322
212	16.60121962
213	16.58836438
214	16.55830563
215	16.54673327
216	16.52092951
217	16.50037403
218	16.48009854
219	16.44322254
220	16.41802578
221	16.40627712
222	16.39714875
223	16.39443269
224	16.36887761
225	16.35365591
226	16.32929432
227	16.29390353
228	16.25545659
229	16.21530701
230	16.18771912
231	16.1665965
232	16.13865265
233	16.11726351
234	16.10547562
235	16.0788098
236	16.05540327
237	16.02059949
238	15.98713953
239	15.96165654
240	15.9249067
241	15.8990316
242	15.88275902
243	15.86185335
244	15.83404181
245	15.81862467
246	15.80095619
247	15.76025495
248	15.73747038
249	15.7219533
250	15.71314961
251	15.69473917
252	15.68658803
253	15.67365715
254	15.63930985
255	15.60471732
256	15.60120693
257	15.56332143
258	15.52673522
259	15.49783608
260	15.46290701
261	15.45510825
262	15.42657445
263	15.3995231
264	15.37208812
265	15.33690825
266	15.31490397
267	15.26652989
268	15.25073183
269	15.23632583
270	15.22618645
271	15.19508583
272	15.17229404
273	15.14488563
274	15.12538121
275	15.11551035
276	15.09114339
277	15.04780854
278	15.03495431
279	15.02075428
280	14.98495998
281	14.96640027
282	14.95015177
283	14.92479906
284	14.88765789
285	14.84370369
286	14.81655886
287	14.78020919
288	14.76147731
289	14.72979717
290	14.69739357
291	14.67950711
292	14.6538747
293	14.63646783
294	14.62543099
295	14.58813759
296	14.57006547
297	14.54066017
298	14.53755343
299	14.52949599
300	14.52019424
301	14.49923903
302	14.48502853
303	14.46113625
304	14.44108749
305	14.39462991
306	14.38740597
307	14.37226164
308	14.35299184
309	14.32600896
310	14.2951498
311	14.2785213
312	14.27308271
313	14.26562314
314	14.24415902
315	14.22045877
316	14.1869658
317	14.16145389
318	14.1226143
319	14.10011081
320	14.07723733
321	14.04638531
322	14.02150493
323	13.98324362
324	13.97906763
325	13.96133412
326	13.93723031
327	13.92844572
328	13.90321886
329	13.88719897
330	13.85698528
331	13.8311704
332	13.81729436
333	13.80255808
334	13.77800438
335	13.76122938
336	13.75305689
337	13.73501388
338	13.71876864
339	13.69980829
340	13.67556173
341	13.65574627
342	13.63696776
343	13.6074622
344	13.58578952
345	13.55854157
346	13.5423261
347	13.51980182
348	13.50163069
349	13.498843
350	13.47854917
351	13.45211859
352	13.43122777
353	13.40899943
354	13.39612273
355	13.38532866
356	13.37999518
357	13.36395583
358	13.3321404
359	13.31010131
360	13.26740683
361	13.2434752
362	13.23430658
363	13.20879019
364	13.18100711
365	13.16376504
366	13.15567108
367	13.15391895
368	13.13310456
369	13.11170761
370	13.09579591
371	13.09208587
372	13.04866935
373	13.02712232
374	12.99330462
375	12.96808738
376	12.94041933
377	12.91325374
378	12.88594823
379	12.84087141
380	12.81377345
381	12.79685732
382	12.77043918
383	12.75546336
384	12.75251388
385	12.73361713
386	12.71463379
387	12.68973227
388	12.65182951
389	12.62855695
390	12.59978959
391	12.57864475
392	12.55093923
393	12.53151836
394	12.5045956
395	12.4894984
396	12.48309882
397	12.47686755
398	12.45805745
399	12.43754756
400	12.41513839
401	12.39385907
402	12.38383037
403	12.3779204
404	12.36647192
405	12.33896134
406	12.31397737
407	12.28809203
408	12.27261763
409	12.25793635
410	12.25082992
411	12.23486014
412	12.22039131
413	12.21827132
414	12.21289392
415	12.18979769
416	12.18352933
417	12.16407376
418	12.13299269
419	12.09817275
420	12.08422826
421	12.06927843
422	12.0425847
423	12.03892975
424	12.00690279
425	11.98560741
426	11.97108166
427	11.96265811
428	11.94915095
429	11.9155095
430	11.91189893
431	11.88802892
432	11.86969577
433	11.85783403
434	11.84359819
435	11.82438945
436	11.80544482
437	11.78273456
438	11.75613842
439	11.73856309
440	11.71981647
441	11.70904625
442	11.70273964
443	11.68076194
444	11.65602272
445	11.64020929
446	11.62035348
447	11.60685109
448	11.59222654
449	11.57944046
450	11.57305548
451	11.56304982
452	11.53869112
453	11.51135248
454	11.50539657
