,gran,kernel,quantile,threshold,f1_score
0,8,2,0.6551724137931034,0.06551724137931035,0.45705171368582437
1,8,3,0.903448275862069,0.3603448275862069,0.44227619793177114
2,20,3,0.6551724137931034,0.4689655172413793,0.41431507054114675
3,21,2,0.8724137931034482,0.45344827586206893,0.4186566085958591
4,16,1,0.7172413793103448,0.2206896551724138,0.46640029100319447
5,16,1,0.5620689655172414,0.3293103448275862,0.3429895164024229
6,14,2,0.8258620689655172,0.1896551724137931,0.4732273442702232
7,24,1,0.8879310344827586,0.2827586206896552,0.39928177463244874
8,8,4,0.95,0.2206896551724138,0.34411584024516506
9,9,1,0.7482758620689655,0.45344827586206893,0.4980192640391562
10,15,4,0.7948275862068965,0.12758620689655173,0.4698895586094977
11,16,4,0.8724137931034482,0.2982758620689655,0.43648800331777365
12,19,3,0.8879310344827586,0.5,0.41499358923960966
13,8,4,0.7017241379310345,0.08103448275862069,0.4893577129522344
14,19,1,0.9344827586206896,0.11206896551724138,0.3056357185562749
15,10,3,0.5155172413793103,0.08103448275862069,0.2946971665080554
16,11,4,0.6086206896551724,0.2362068965517241,0.4034871189531665
17,14,1,0.9344827586206896,0.06551724137931035,0.36472318270347975
18,9,2,0.593103448275862,0.2362068965517241,0.38895317912398913
19,14,2,0.5620689655172414,0.20517241379310347,0.34539667883309755
20,11,3,0.5465517241379311,0.20517241379310347,0.3259559194793065
21,14,4,0.8413793103448275,0.3913793103448276,0.4686003252765695
22,16,4,0.7327586206896551,0.20517241379310347,0.46601263586629066
23,21,3,0.8879310344827586,0.20517241379310347,0.4103008481138284
24,8,1,0.8258620689655172,0.09655172413793103,0.4996321001716427
25,21,1,0.6241379310344828,0.3603448275862069,0.3895593719597386
26,13,3,0.8724137931034482,0.1896551724137931,0.4483728361364252
27,20,1,0.8568965517241378,0.11206896551724138,0.4278734190223942
28,9,3,0.593103448275862,0.42241379310344823,0.38895317912398913
29,13,2,0.9344827586206896,0.17413793103448277,0.36757470316950985
30,10,4,0.8103448275862069,0.4379310344827586,0.4912262228423023
31,21,1,0.5465517241379311,0.4068965517241379,0.3137982839381267
32,19,4,0.7793103448275862,0.3758620689655172,0.45371594845955043
33,18,1,0.7637931034482759,0.2206896551724138,0.45616032582683697
34,17,2,0.593103448275862,0.17413793103448277,0.37258747247370166
35,12,1,0.6396551724137931,0.06551724137931035,0.4289703572915973
36,11,4,0.5620689655172414,0.1896551724137931,0.3499573479804826
37,18,1,0.5465517241379311,0.1896551724137931,0.31746797259463655
38,8,2,0.6241379310344828,0.11206896551724138,0.4274419378411357
39,23,4,0.9344827586206896,0.1896551724137931,0.3147692897594407
40,16,2,0.5620689655172414,0.05,0.3429895164024229
